sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,r_dev0_m,r_dev1_m,r_dev0_cal_m,r_dev1_cal_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
1,0,1,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
2,0,2,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
3,0,3,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
4,0,4,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
5,0,5,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
6,0,6,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
7,0,7,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
8,0,8,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
9,0,9,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
10,0,10,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
11,0,11,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
12,0,12,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
13,0,13,-1.0,-1.0,-0.6218074346036088,1.5653702573462147,3.509521484375,1.52587890625,3.619521484375002,2.0858789062500023,2.593097409238166
14,0,14,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
15,0,15,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
16,0,16,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
17,0,17,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
18,0,18,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
19,0,19,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
20,0,20,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
21,0,21,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
22,0,22,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
23,0,23,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
24,0,24,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
25,0,25,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
26,0,26,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
27,0,27,-1.0,-1.0,-0.6218074346036088,1.5653702573462147,3.509521484375,1.52587890625,3.619521484375002,2.0858789062500023,2.593097409238166
28,0,28,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
29,0,29,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
30,0,30,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
31,0,31,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
32,0,32,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
33,0,33,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
34,0,34,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
35,0,35,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
36,0,36,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
37,0,37,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
38,0,38,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
39,0,39,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
40,0,40,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
41,0,41,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
42,0,42,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
43,0,43,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
44,0,44,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
45,0,45,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
46,0,46,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
47,0,47,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
48,0,48,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
49,0,49,-1.0,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.5333016908852315
50,1,0,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
51,1,1,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
52,1,2,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
53,1,3,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
54,1,4,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
55,1,5,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
56,1,6,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
57,1,7,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
58,1,8,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
59,1,9,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
60,1,10,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
61,1,11,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
62,1,12,-0.8,-1.0,-0.6218074346036088,1.5653702573462147,3.509521484375,1.52587890625,3.619521484375002,2.0858789062500023,2.5715515059277214
63,1,13,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
64,1,14,-0.8,-1.0,-0.8140076008916928,1.5264647799872275,3.509521484375,1.373291015625,3.619521484375002,1.9332910156250023,2.526503611198419
